bodyPart,equipment,id,name,target
Quads,body weight,1512,all fours squad stretch,quads
back,cable,7,alternate lateral pulldown,lats
Calves,body weight,1368,ankle circles,calves
back,body weight,3293,archer pull up,lats
chest,body weight,3294,archer push up,pectorals
chest,leverage machine,9,assisted chest dip (kneeling),pectorals
Calves,assisted,1708,assisted lying calves stretch,calves
back,leverage machine,15,assisted parallel close grip pull-up,lats
Hamstrings,assisted,16,assisted prone hamstring,hamstrings
Quads,assisted,1713,assisted prone lying quads stretch,quads
back,leverage machine,17,assisted pull-up,lats
chest,assisted,1716,assisted seated pectoralis major stretch with stability ball,pectorals
back,leverage machine,1431,assisted standing chin-up,lats
back,leverage machine,1432,assisted standing pull-up,lats
Triceps,assisted,18,assisted standing triceps extension (with towel),triceps
Triceps,leverage machine,19,assisted triceps dip (kneeling),triceps
chest,leverage machine,2364,assisted wide-grip chest dip (kneeling),pectorals
back,body weight,3297,back lever,upper back
back,body weight,1405,back pec stretch,lats
Quads,body weight,1473,backward jump,quads
Quads,body weight,20,balance board,quads
Biceps,barbell,23,barbell alternate biceps curl,biceps
Quads,barbell,24,barbell bench front squat,quads
chest,barbell,25,barbell bench press,pectorals
Quads,barbell,26,barbell bench squat,quads
back,barbell,1316,barbell bent arm pullover,lats
back,barbell,27,barbell bent over row,upper back
Biceps,barbell,2407,barbell biceps curl (with arm blaster),biceps
Quads,barbell,28,barbell clean and press,quads
Triceps,barbell,30,barbell close-grip bench press,triceps
Biceps,barbell,31,barbell curl,biceps
chest,barbell,33,barbell decline bench press,pectorals
back,barbell,34,barbell decline bent arm pullover,lats
Triceps,barbell,35,barbell decline close grip to skull press,triceps
chest,barbell,1255,barbell decline pullover,pectorals
chest,barbell,36,barbell decline wide-grip press,pectorals
back,barbell,37,barbell decline wide-grip pullover,lats
Biceps,barbell,38,barbell drag curl,biceps
Calves,barbell,1370,barbell floor calf raise,calves
shoulders,barbell,41,barbell front raise,delts
chest,barbell,40,barbell front raise and pullover,pectorals
Hamstrings,barbell,44,barbell good morning,hamstrings
chest,barbell,45,barbell guillotine bench press,pectorals
chest,barbell,47,barbell incline bench press,pectorals
Triceps,barbell,1719,barbell incline close grip bench press,triceps
Triceps,barbell,48,barbell incline reverse-grip press,triceps
back,barbell,49,barbell incline row,upper back
chest,barbell,50,barbell incline shoulder raise,serratus anterior
Triceps,barbell,52,barbell jm bench press,triceps
Triceps,barbell,1720,barbell lying back of the head tricep extension,triceps
Triceps,barbell,55,barbell lying close-grip press,triceps
Triceps,barbell,56,barbell lying close-grip triceps extension,triceps
Triceps,barbell,57,barbell lying extension,triceps
Biceps,barbell,59,barbell lying preacher curl,biceps
Triceps,barbell,61,barbell lying triceps extension,triceps
Triceps,barbell,60,barbell lying triceps extension skull crusher,triceps
back,barbell,64,barbell one arm bent over row,upper back
Triceps,barbell,65,barbell one arm floor press,triceps
shoulders,barbell,67,barbell one arm snatch,delts
Quads,barbell,68,barbell one leg squat,quads
Quads,barbell,69,barbell overhead squat,quads
back,barbell,3017,barbell pendlay row,upper back
Triceps,barbell,1751,barbell pin presses,triceps
Biceps,barbell,70,barbell preacher curl,biceps
Biceps,barbell,72,barbell prone incline curl,biceps
back,barbell,73,barbell pullover,lats
back,barbell,22,barbell pullover to press,lats
shoulders,barbell,75,barbell rear delt raise,delts
shoulders,barbell,76,barbell rear delt row,delts
Triceps,barbell,2187,barbell reverse close-grip bench press,triceps
Biceps,barbell,80,barbell reverse curl,biceps
back,barbell,118,barbell reverse grip bent over row,upper back
chest,barbell,1256,barbell reverse grip decline bench press,pectorals
chest,barbell,1257,barbell reverse grip incline bench press,pectorals
back,barbell,1317,barbell reverse grip incline bench row,upper back
Triceps,barbell,1721,barbell reverse grip skullcrusher,triceps
Biceps,barbell,81,barbell reverse preacher curl,biceps
shoulders,barbell,86,barbell seated behind head military press,delts
shoulders,barbell,87,barbell seated bradford rocky press,delts
Calves,barbell,88,barbell seated calf raise,calves
Calves,barbell,1371,barbell seated calf raise,calves
Triceps,barbell,1718,barbell seated close grip behind neck triceps extension,triceps
Biceps,barbell,89,barbell seated close-grip concentration curl,biceps
shoulders,barbell,91,barbell seated overhead press,delts
Triceps,barbell,92,barbell seated overhead triceps extension,triceps
back,barbell,95,barbell shrug,traps
Quads,barbell,98,barbell side split squat,quads
Quads,barbell,97,barbell side split squat v. 2,quads
Quads,barbell,99,barbell single leg split squat,quads
shoulders,barbell,100,barbell skier,delts
Quads,barbell,2810,barbell split squat v. 2,quads
Quads,barbell,102,barbell squat (on knees),quads
Quads,barbell,2798,barbell squat jump step rear lunge,quads
shoulders,barbell,105,barbell standing bradford press,delts
Calves,barbell,1372,barbell standing calf raise,calves
Biceps,barbell,106,barbell standing close grip curl,biceps
shoulders,barbell,1456,barbell standing close grip military press,delts
Biceps,barbell,2414,barbell standing concentration curl,biceps
